"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2025","AQS","481410044","1","17.4","ug/m3 LC","66","El Paso Chamizal","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","21340","El Paso, TX","48","Texas","141","El Paso","31.7656843","-106.455227"
"01/04/2025","AQS","481410044","1","23.5","ug/m3 LC","78","El Paso Chamizal","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","21340","El Paso, TX","48","Texas","141","El Paso","31.7656843","-106.455227"
"01/07/2025","AQS","481410044","1","4.8","ug/m3 LC","27","El Paso Chamizal","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","21340","El Paso, TX","48","Texas","141","El Paso","31.7656843","-106.455227"
"01/10/2025","AQS","481410044","1","3.8","ug/m3 LC","21","El Paso Chamizal","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","21340","El Paso, TX","48","Texas","141","El Paso","31.7656843","-106.455227"
"01/16/2025","AQS","481410044","1","3.8","ug/m3 LC","21","El Paso Chamizal","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","21340","El Paso, TX","48","Texas","141","El Paso","31.7656843","-106.455227"
"01/19/2025","AQS","481410044","1","8.3","ug/m3 LC","46","El Paso Chamizal","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","21340","El Paso, TX","48","Texas","141","El Paso","31.7656843","-106.455227"
"01/22/2025","AQS","481410044","1","16.1","ug/m3 LC","64","El Paso Chamizal","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","21340","El Paso, TX","48","Texas","141","El Paso","31.7656843","-106.455227"
"01/25/2025","AQS","481410044","1","20","ug/m3 LC","71","El Paso Chamizal","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","21340","El Paso, TX","48","Texas","141","El Paso","31.7656843","-106.455227"
"01/28/2025","AQS","481410044","1","10.2","ug/m3 LC","53","El Paso Chamizal","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","21340","El Paso, TX","48","Texas","141","El Paso","31.7656843","-106.455227"
"01/31/2025","AQS","481410044","1","10.9","ug/m3 LC","54","El Paso Chamizal","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","21340","El Paso, TX","48","Texas","141","El Paso","31.7656843","-106.455227"
