"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2025","AQS","061070009","1","2.9","ug/m3 LC","16","Sequoia & Kings Canyon NPs - Ash Mountain","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.48947","-118.82915"
"01/02/2025","AQS","061070009","1","2.7","ug/m3 LC","15","Sequoia & Kings Canyon NPs - Ash Mountain","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.48947","-118.82915"
"01/03/2025","AQS","061070009","1","3.7","ug/m3 LC","21","Sequoia & Kings Canyon NPs - Ash Mountain","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.48947","-118.82915"
"01/04/2025","AQS","061070009","1","3.2","ug/m3 LC","18","Sequoia & Kings Canyon NPs - Ash Mountain","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.48947","-118.82915"
"01/05/2025","AQS","061070009","1","3.4","ug/m3 LC","19","Sequoia & Kings Canyon NPs - Ash Mountain","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.48947","-118.82915"
"01/06/2025","AQS","061070009","1","3.9","ug/m3 LC","22","Sequoia & Kings Canyon NPs - Ash Mountain","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.48947","-118.82915"
"01/07/2025","AQS","061070009","1","8","ug/m3 LC","44","Sequoia & Kings Canyon NPs - Ash Mountain","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.48947","-118.82915"
"01/08/2025","AQS","061070009","1","-0.2","ug/m3 LC","0","Sequoia & Kings Canyon NPs - Ash Mountain","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.48947","-118.82915"
"01/09/2025","AQS","061070009","1","-0.7","ug/m3 LC","0","Sequoia & Kings Canyon NPs - Ash Mountain","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.48947","-118.82915"
"01/10/2025","AQS","061070009","1","-1","ug/m3 LC","0","Sequoia & Kings Canyon NPs - Ash Mountain","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.48947","-118.82915"
"01/11/2025","AQS","061070009","1","2.2","ug/m3 LC","12","Sequoia & Kings Canyon NPs - Ash Mountain","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.48947","-118.82915"
"01/12/2025","AQS","061070009","1","1.3","ug/m3 LC","7","Sequoia & Kings Canyon NPs - Ash Mountain","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.48947","-118.82915"
"01/13/2025","AQS","061070009","1","1.9","ug/m3 LC","11","Sequoia & Kings Canyon NPs - Ash Mountain","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.48947","-118.82915"
"01/14/2025","AQS","061070009","1","-0.2","ug/m3 LC","0","Sequoia & Kings Canyon NPs - Ash Mountain","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.48947","-118.82915"
