,City,Date,Daily Mean PM2.5 Concentration,State,Local Site Name,0 filters,10 filters,100 filters,1000 filters
0,Bakersfield,01/01/2025,30.1,California,Bakersfield-Golden / M St,30.1,29.86823,28.37828,23.143890000000003
1,Bakersfield,01/02/2025,30.6,California,Bakersfield-Golden / M St,30.6,30.36438,28.84968,23.528340000000004
2,Bakersfield,01/03/2025,34.9,California,Bakersfield-Golden / M St,34.9,34.63127,32.90372,26.83461
3,Bakersfield,01/04/2025,8.0,California,Bakersfield-Golden / M St,8.0,7.9384,7.5424,6.1512
4,Bakersfield,01/05/2025,11.7,California,Bakersfield-Golden / M St,11.7,11.60991,11.030759999999999,8.996129999999999
5,Bakersfield,01/06/2025,18.1,California,Bakersfield-Golden / M St,18.1,17.960630000000002,17.06468,13.917090000000002
6,Bakersfield,01/07/2025,22.8,California,Bakersfield-Golden / M St,22.8,22.62444,21.49584,17.530920000000002
7,Bakersfield,01/08/2025,18.7,California,Bakersfield-Golden / M St,18.7,18.556009999999997,17.63036,14.37843
8,Bakersfield,01/09/2025,23.0,California,Bakersfield-Golden / M St,23.0,22.8229,21.6844,17.6847
9,Bakersfield,01/10/2025,17.7,California,Bakersfield-Golden / M St,17.7,17.563709999999997,16.687559999999998,13.60953
10,Bakersfield,01/11/2025,26.0,California,Bakersfield-Golden / M St,26.0,25.799799999999998,24.5128,19.991400000000002
11,Bakersfield,01/12/2025,15.0,California,Bakersfield-Golden / M St,15.0,14.8845,14.142,11.5335
12,Bakersfield,01/13/2025,5.9,California,Bakersfield-Golden / M St,5.9,5.85457,5.56252,4.536510000000001
13,Bakersfield,01/14/2025,14.6,California,Bakersfield-Golden / M St,14.6,14.48758,13.76488,11.22594
14,Bakersfield,01/15/2025,18.6,California,Bakersfield-Golden / M St,18.6,18.456780000000002,17.536080000000002,14.301540000000001
15,Bakersfield,01/16/2025,13.5,California,Bakersfield-Golden / M St,13.5,13.396049999999999,12.7278,10.38015
16,Bakersfield,01/17/2025,18.2,California,Bakersfield-Golden / M St,18.2,18.059859999999997,17.15896,13.99398
17,Bakersfield,01/18/2025,26.8,California,Bakersfield-Golden / M St,26.8,26.59364,25.26704,20.60652
18,Bakersfield,01/19/2025,34.0,California,Bakersfield-Golden / M St,34.0,33.7382,32.0552,26.1426
19,Bakersfield,01/20/2025,34.9,California,Bakersfield-Golden / M St,34.9,34.63127,32.90372,26.83461
20,Bakersfield,01/21/2025,29.4,California,Bakersfield-Golden / M St,29.4,29.173619999999996,27.71832,22.60566
21,Bakersfield,01/22/2025,30.6,California,Bakersfield-Golden / M St,30.6,30.36438,28.84968,23.528340000000004
22,Bakersfield,01/23/2025,25.2,California,Bakersfield-Golden / M St,25.2,25.005959999999998,23.75856,19.37628
23,Bakersfield,01/24/2025,25.5,California,Bakersfield-Golden / M St,25.5,25.303649999999998,24.0414,19.60695
24,Bakersfield,01/25/2025,12.2,California,Bakersfield-Golden / M St,12.2,12.10606,11.502159999999998,9.38058
25,Bakersfield,01/26/2025,7.8,California,Bakersfield-Golden / M St,7.8,7.73994,7.35384,5.99742
26,Bakersfield,01/27/2025,7.2,California,Bakersfield-Golden / M St,7.2,7.14456,6.7881599999999995,5.53608
27,Bakersfield,01/28/2025,12.3,California,Bakersfield-Golden / M St,12.3,12.20529,11.596440000000001,9.45747
28,Bakersfield,01/29/2025,14.2,California,Bakersfield-Golden / M St,14.2,14.090659999999998,13.387759999999998,10.918379999999999
29,Bakersfield,01/30/2025,21.3,California,Bakersfield-Golden / M St,21.3,21.13599,20.08164,16.377570000000002
30,Bakersfield,01/31/2025,25.8,California,Bakersfield-Golden / M St,25.8,25.60134,24.32424,19.83762
31,Bakersfield,02/01/2025,18.0,California,Bakersfield-Golden / M St,18.0,17.8614,16.970399999999998,13.840200000000001
32,Bakersfield,02/02/2025,10.6,California,Bakersfield-Golden / M St,10.6,10.518379999999999,9.99368,8.15034
33,Bakersfield,02/03/2025,8.6,California,Bakersfield-Golden / M St,8.6,8.53378,8.10808,6.61254
34,Bakersfield,02/04/2025,1.9,California,Bakersfield-Golden / M St,1.9,1.8853699999999998,1.7913199999999998,1.46091
35,Bakersfield,02/05/2025,2.2,California,Bakersfield-Golden / M St,2.2,2.1830600000000002,2.07416,1.6915800000000003
36,Bakersfield,02/06/2025,5.9,California,Bakersfield-Golden / M St,5.9,5.85457,5.56252,4.536510000000001
37,Bakersfield,02/07/2025,3.2,California,Bakersfield-Golden / M St,3.2,3.17536,3.01696,2.4604800000000004
38,Bakersfield,02/08/2025,9.1,California,Bakersfield-Golden / M St,9.1,9.029929999999998,8.57948,6.99699
39,Bakersfield,02/09/2025,14.9,California,Bakersfield-Golden / M St,14.9,14.78527,14.04772,11.456610000000001
40,Bakersfield,02/10/2025,10.1,California,Bakersfield-Golden / M St,10.1,10.022229999999999,9.522279999999999,7.76589
41,Bakersfield,02/11/2025,10.0,California,Bakersfield-Golden / M St,10.0,9.923,9.427999999999999,7.689
42,Bakersfield,02/12/2025,6.5,California,Bakersfield-Golden / M St,6.5,6.449949999999999,6.1282,4.997850000000001
43,Bakersfield,02/13/2025,3.7,California,Bakersfield-Golden / M St,3.7,3.67151,3.48836,2.84493
44,Bakersfield,02/14/2025,3.4,California,Bakersfield-Golden / M St,3.4,3.37382,3.20552,2.61426
45,Bakersfield,02/15/2025,7.5,California,Bakersfield-Golden / M St,7.5,7.44225,7.071,5.76675
46,Bakersfield,02/16/2025,11.7,California,Bakersfield-Golden / M St,11.7,11.60991,11.030759999999999,8.996129999999999
47,Bakersfield,02/17/2025,12.5,California,Bakersfield-Golden / M St,12.5,12.403749999999999,11.785,9.61125
48,Bakersfield,02/18/2025,9.3,California,Bakersfield-Golden / M St,9.3,9.228390000000001,8.768040000000001,7.1507700000000005
49,Bakersfield,02/19/2025,11.6,California,Bakersfield-Golden / M St,11.6,11.510679999999999,10.93648,8.91924
50,Bakersfield,02/20/2025,11.7,California,Bakersfield-Golden / M St,11.7,11.60991,11.030759999999999,8.996129999999999
51,Bakersfield,02/21/2025,13.8,California,Bakersfield-Golden / M St,13.8,13.69374,13.01064,10.61082
52,Bakersfield,02/22/2025,15.2,California,Bakersfield-Golden / M St,15.2,15.082959999999998,14.330559999999998,11.68728
53,Bakersfield,02/23/2025,11.7,California,Bakersfield-Golden / M St,11.7,11.60991,11.030759999999999,8.996129999999999
54,Bakersfield,02/24/2025,11.9,California,Bakersfield-Golden / M St,11.9,11.80837,11.21932,9.14991
