,City,Date,Daily Mean PM2.5 Concentration,State,Local Site Name,0 filters,10 filters,100 filters,1000 filters
0,Burlington,01/01/2025,1.1,Vermont,PROCTOR MAPLE RESEARCH CTR,1.1,1.0915300000000001,1.03708,0.8457900000000002
1,Burlington,01/04/2025,0.7,Vermont,PROCTOR MAPLE RESEARCH CTR,0.7,0.69461,0.65996,0.53823
2,Burlington,01/07/2025,1.2,Vermont,PROCTOR MAPLE RESEARCH CTR,1.2,1.1907599999999998,1.13136,0.92268
3,Burlington,01/10/2025,1.0,Vermont,PROCTOR MAPLE RESEARCH CTR,1.0,0.9923,0.9428,0.7689
4,Burlington,01/13/2025,4.5,Vermont,PROCTOR MAPLE RESEARCH CTR,4.5,4.46535,4.2425999999999995,3.4600500000000003
5,Burlington,01/16/2025,2.2,Vermont,PROCTOR MAPLE RESEARCH CTR,2.2,2.1830600000000002,2.07416,1.6915800000000003
6,Burlington,01/19/2025,2.4,Vermont,PROCTOR MAPLE RESEARCH CTR,2.4,2.3815199999999996,2.26272,1.84536
7,Burlington,01/22/2025,3.9,Vermont,PROCTOR MAPLE RESEARCH CTR,3.9,3.86997,3.67692,2.99871
8,Burlington,01/23/2025,5.3,Vermont,PROCTOR MAPLE RESEARCH CTR,5.3,5.259189999999999,4.99684,4.07517
9,Burlington,01/25/2025,3.1,Vermont,PROCTOR MAPLE RESEARCH CTR,3.1,3.07613,2.92268,2.3835900000000003
10,Burlington,01/28/2025,1.3,Vermont,PROCTOR MAPLE RESEARCH CTR,1.3,1.28999,1.22564,0.9995700000000001
11,Burlington,01/31/2025,6.0,Vermont,PROCTOR MAPLE RESEARCH CTR,6.0,5.953799999999999,5.6568,4.6134
12,Burlington,02/03/2025,2.9,Vermont,PROCTOR MAPLE RESEARCH CTR,2.9,2.8776699999999997,2.73412,2.22981
13,Burlington,02/06/2025,0.9,Vermont,PROCTOR MAPLE RESEARCH CTR,0.9,0.89307,0.8485199999999999,0.69201
14,Burlington,02/09/2025,1.2,Vermont,PROCTOR MAPLE RESEARCH CTR,1.2,1.1907599999999998,1.13136,0.92268
15,Burlington,02/12/2025,4.2,Vermont,PROCTOR MAPLE RESEARCH CTR,4.2,4.16766,3.95976,3.2293800000000004
16,Burlington,02/15/2025,1.4,Vermont,PROCTOR MAPLE RESEARCH CTR,1.4,1.38922,1.31992,1.07646
17,Burlington,02/18/2025,1.2,Vermont,PROCTOR MAPLE RESEARCH CTR,1.2,1.1907599999999998,1.13136,0.92268
18,Burlington,02/21/2025,1.1,Vermont,PROCTOR MAPLE RESEARCH CTR,1.1,1.0915300000000001,1.03708,0.8457900000000002
