,City,Date,Daily Mean PM2.5 Concentration,State,Local Site Name,0 filters,10 filters,100 filters,1000 filters,Below threshold with 0 filters,Below threshold with 10 filters,Below threshold with 100 filters,Below threshold with 1000 filters
779,Chicago,01/01/2025,7.1,Illinois,MAYFAIR PUMP STATION,7.1,7.045329999999999,6.693879999999999,5.4591899999999995,True,True,True,True
6977,Chicago,01/02/2025,6.9,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,6.9,6.84687,6.50532,5.30541,True,True,True,True
6978,Chicago,01/03/2025,18.3,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18.3,18.15909,17.25324,14.070870000000001,False,False,False,False
6979,Chicago,01/04/2025,11.6,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,11.6,11.510679999999999,10.93648,8.91924,False,False,False,True
6980,Chicago,01/05/2025,7.0,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,7.0,6.9460999999999995,6.5996,5.3823,True,True,True,True
11,Chicago,01/06/2025,5.7,Illinois,VILLAGE GARAGE,5.7,5.65611,5.37396,4.3827300000000005,True,True,True,True
6982,Chicago,01/07/2025,12.5,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,12.5,12.403749999999999,11.785,9.61125,False,False,False,False
6983,Chicago,01/08/2025,12.3,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,12.3,12.20529,11.596440000000001,9.45747,False,False,False,False
6033,Chicago,01/09/2025,13.2,Illinois,PERSHING SCHOOL,13.2,13.09836,12.444959999999998,10.14948,False,False,False,False
363,Chicago,01/10/2025,24.3,Illinois,WASHINGTON HS,24.3,24.11289,22.91004,18.68427,False,False,False,False
6986,Chicago,01/11/2025,12.2,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,12.2,12.10606,11.502159999999998,9.38058,False,False,False,False
365,Chicago,01/12/2025,11.3,Illinois,WASHINGTON HS,11.3,11.21299,10.653640000000001,8.68857,False,False,False,True
721,Chicago,01/13/2025,6.1,Illinois,WASHINGTON HS,6.1,6.05303,5.751079999999999,4.69029,True,True,True,True
2667,Chicago,01/14/2025,10.0,Illinois,IEPA TRAILER,10.0,9.923,9.427999999999999,7.689,False,False,False,True
1940,Chicago,01/15/2025,12.8,Illinois,Kingery Near Road #1,12.8,12.70144,12.06784,9.841920000000002,False,False,False,False
6989,Chicago,01/16/2025,15.8,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,15.8,15.67834,14.89624,12.148620000000001,False,False,False,False
370,Chicago,01/17/2025,9.4,Illinois,WASHINGTON HS,9.4,9.32762,8.86232,7.22766,False,False,True,True
6991,Chicago,01/18/2025,5.9,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,5.9,5.85457,5.56252,4.536510000000001,True,True,True,True
6992,Chicago,01/19/2025,10.0,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,10.0,9.923,9.427999999999999,7.689,False,False,False,True
6993,Chicago,01/20/2025,6.0,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,6.0,5.953799999999999,5.6568,4.6134,True,True,True,True
1946,Chicago,01/21/2025,7.9,Illinois,Kingery Near Road #1,7.9,7.83917,7.44812,6.0743100000000005,True,True,True,True
1947,Chicago,01/22/2025,9.2,Illinois,Kingery Near Road #1,9.2,9.129159999999999,8.67376,7.07388,False,False,True,True
6996,Chicago,01/23/2025,10.4,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,10.4,10.31992,9.80512,7.996560000000001,False,False,False,True
1949,Chicago,01/24/2025,10.9,Illinois,Kingery Near Road #1,10.9,10.81607,10.27652,8.38101,False,False,False,True
378,Chicago,01/25/2025,8.4,Illinois,WASHINGTON HS,8.4,8.33532,7.91952,6.458760000000001,True,True,True,True
6999,Chicago,01/26/2025,7.1,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,7.1,7.045329999999999,6.693879999999999,5.4591899999999995,True,True,True,True
380,Chicago,01/27/2025,7.9,Illinois,WASHINGTON HS,7.9,7.83917,7.44812,6.0743100000000005,True,True,True,True
381,Chicago,01/28/2025,6.7,Illinois,WASHINGTON HS,6.7,6.64841,6.31676,5.15163,True,True,True,True
7002,Chicago,01/29/2025,10.6,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,10.6,10.518379999999999,9.99368,8.15034,False,False,False,True
4204,Chicago,01/30/2025,11.5,Illinois,LIBERTY SCHOOL,11.5,11.41145,10.8422,8.84235,False,False,False,True
7778,Chicago,01/31/2025,11.3,Indiana,Gary- Madison St./ Gary Water/ IN American Water Co.,11.3,11.21299,10.653640000000001,8.68857,False,False,False,True
4597,Chicago,02/01/2025,4.8,Illinois,CITY HALL,4.8,4.763039999999999,4.52544,3.69072,True,True,True,True
386,Chicago,02/02/2025,14.1,Illinois,WASHINGTON HS,14.1,13.99143,13.293479999999999,10.84149,False,False,False,False
387,Chicago,02/03/2025,13.5,Illinois,WASHINGTON HS,13.5,13.396049999999999,12.7278,10.38015,False,False,False,False
6423,Chicago,02/04/2025,4.1,Illinois,COM ED TRAINING CENTER,4.1,4.068429999999999,3.8654799999999994,3.15249,True,True,True,True
4601,Chicago,02/05/2025,8.2,Illinois,CITY HALL,8.2,8.136859999999999,7.730959999999999,6.30498,True,True,True,True
390,Chicago,02/06/2025,8.7,Illinois,WASHINGTON HS,8.7,8.633009999999999,8.202359999999999,6.68943,True,True,True,True
7011,Chicago,02/07/2025,11.1,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,11.1,11.014529999999999,10.465079999999999,8.53479,False,False,False,True
7012,Chicago,02/08/2025,11.2,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,11.2,11.11376,10.55936,8.61168,False,False,False,True
7013,Chicago,02/09/2025,10.3,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,10.3,10.220690000000001,9.710840000000001,7.919670000000001,False,False,False,True
7014,Chicago,02/10/2025,9.6,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,9.6,9.526079999999999,9.05088,7.38144,False,False,False,True
6430,Chicago,02/11/2025,8.7,Illinois,COM ED TRAINING CENTER,8.7,8.633009999999999,8.202359999999999,6.68943,True,True,True,True
8697,Chicago,02/12/2025,15.3,Indiana,Hammond- 167th St,15.3,15.18219,14.42484,11.764170000000002,False,False,False,False
7017,Chicago,02/13/2025,11.8,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,11.8,11.70914,11.12504,9.073020000000001,False,False,False,False
821,Chicago,02/14/2025,14.2,Illinois,MAYFAIR PUMP STATION,14.2,14.090659999999998,13.387759999999998,10.918379999999999,False,False,False,False
5705,Chicago,02/15/2025,17.8,Illinois,CARY GROVE HS,17.8,17.66294,16.78184,13.686420000000002,False,False,False,False
7020,Chicago,02/16/2025,12.0,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,12.0,11.907599999999999,11.3136,9.2268,False,False,False,False
7021,Chicago,02/17/2025,8.5,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,8.5,8.43455,8.0138,6.53565,True,True,True,True
7022,Chicago,02/18/2025,10.2,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,10.2,10.121459999999999,9.61656,7.842779999999999,False,False,False,True
7023,Chicago,02/19/2025,12.3,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,12.3,12.20529,11.596440000000001,9.45747,False,False,False,False
7024,Chicago,02/20/2025,14.8,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,14.8,14.68604,13.95344,11.37972,False,False,False,False
7555,Chicago,02/21/2025,13.9,Indiana,Gary- Burr St./ pumping station near truck stop,13.9,13.79297,13.10492,10.687710000000001,False,False,False,False
7026,Chicago,02/22/2025,10.9,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,10.9,10.81607,10.27652,8.38101,False,False,False,True
5713,Chicago,02/23/2025,17.6,Illinois,CARY GROVE HS,17.6,17.464480000000002,16.59328,13.532640000000002,False,False,False,False
408,Chicago,02/24/2025,14.8,Illinois,WASHINGTON HS,14.8,14.68604,13.95344,11.37972,False,False,False,False
7029,Chicago,02/25/2025,13.7,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,13.7,13.594509999999998,12.91636,10.53393,False,False,False,False
410,Chicago,02/26/2025,14.0,Illinois,WASHINGTON HS,14.0,13.892199999999999,13.1992,10.7646,False,False,False,False
7557,Chicago,02/27/2025,15.1,Indiana,Gary- Burr St./ pumping station near truck stop,15.1,14.98373,14.236279999999999,11.61039,False,False,False,False
7032,Chicago,02/28/2025,8.1,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,8.1,8.03763,7.636679999999999,6.22809,True,True,True,True
7033,Chicago,03/01/2025,5.2,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,5.2,5.15996,4.90256,3.9982800000000003,True,True,True,True
7034,Chicago,03/02/2025,12.3,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,12.3,12.20529,11.596440000000001,9.45747,False,False,False,False
415,Chicago,03/03/2025,10.5,Illinois,WASHINGTON HS,10.5,10.41915,9.8994,8.073450000000001,False,False,False,True
4628,Chicago,03/04/2025,10.3,Illinois,CITY HALL,10.3,10.220690000000001,9.710840000000001,7.919670000000001,False,False,False,True
7037,Chicago,03/05/2025,11.5,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,11.5,11.41145,10.8422,8.84235,False,False,False,True
7038,Chicago,03/06/2025,12.0,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,12.0,11.907599999999999,11.3136,9.2268,False,False,False,False
419,Chicago,03/07/2025,10.2,Illinois,WASHINGTON HS,10.2,10.121459999999999,9.61656,7.842779999999999,False,False,False,True
7040,Chicago,03/08/2025,7.8,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,7.8,7.73994,7.35384,5.99742,True,True,True,True
7041,Chicago,03/09/2025,6.2,Indiana,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,6.2,6.15226,5.84536,4.767180000000001,True,True,True,True
422,Chicago,03/10/2025,8.4,Illinois,WASHINGTON HS,8.4,8.33532,7.91952,6.458760000000001,True,True,True,True
7848,Chicago,03/11/2025,8.0,Indiana,East Chicago-Marina,8.0,7.9384,7.5424,6.1512,True,True,True,True
4636,Chicago,03/12/2025,9.9,Illinois,CITY HALL,9.9,9.82377,9.33372,7.61211,False,False,False,True
6460,Chicago,03/13/2025,18.5,Illinois,COM ED TRAINING CENTER,18.5,18.35755,17.4418,14.22465,False,False,False,False
849,Chicago,03/14/2025,16.0,Illinois,MAYFAIR PUMP STATION,16.0,15.8768,15.0848,12.3024,False,False,False,False
