,City,Date,Daily Mean PM2.5 Concentration,State,Local Site Name,0 filters,10 filters,100 filters,1000 filters,Below threshold with 0 filters,Below threshold with 10 filters,Below threshold with 100 filters,Below threshold with 1000 filters
2892,Detroit,01/01/2025,7.7,Michigan,Eliza Howell-NR,7.7,7.6407099999999994,7.25956,5.92053,True,True,True,True
2893,Detroit,01/02/2025,9.7,Michigan,Eliza Howell-NR,9.7,9.625309999999999,9.145159999999999,7.45833,False,False,False,True
2894,Detroit,01/03/2025,8.7,Michigan,Eliza Howell-NR,8.7,8.633009999999999,8.202359999999999,6.68943,True,True,True,True
2895,Detroit,01/04/2025,6.3,Michigan,Eliza Howell-NR,6.3,6.2514899999999995,5.93964,4.84407,True,True,True,True
2896,Detroit,01/05/2025,8.6,Michigan,Eliza Howell-NR,8.6,8.53378,8.10808,6.61254,True,True,True,True
2897,Detroit,01/06/2025,7.0,Michigan,Eliza Howell-NR,7.0,6.9460999999999995,6.5996,5.3823,True,True,True,True
2898,Detroit,01/07/2025,5.4,Michigan,Eliza Howell-NR,5.4,5.35842,5.09112,4.1520600000000005,True,True,True,True
2899,Detroit,01/08/2025,6.2,Michigan,Eliza Howell-NR,6.2,6.15226,5.84536,4.767180000000001,True,True,True,True
2900,Detroit,01/09/2025,10.4,Michigan,Eliza Howell-NR,10.4,10.31992,9.80512,7.996560000000001,False,False,False,True
2901,Detroit,01/10/2025,28.9,Michigan,Eliza Howell-NR,28.9,28.677469999999996,27.24692,22.22121,False,False,False,False
2902,Detroit,01/11/2025,20.3,Michigan,Eliza Howell-NR,20.3,20.14369,19.138840000000002,15.608670000000002,False,False,False,False
2903,Detroit,01/12/2025,20.0,Michigan,Eliza Howell-NR,20.0,19.846,18.855999999999998,15.378,False,False,False,False
2904,Detroit,01/13/2025,13.8,Michigan,Eliza Howell-NR,13.8,13.69374,13.01064,10.61082,False,False,False,False
2905,Detroit,01/14/2025,12.9,Michigan,Eliza Howell-NR,12.9,12.80067,12.16212,9.91881,False,False,False,False
2906,Detroit,01/15/2025,15.1,Michigan,Eliza Howell-NR,15.1,14.98373,14.236279999999999,11.61039,False,False,False,False
2907,Detroit,01/16/2025,21.9,Michigan,Eliza Howell-NR,21.9,21.73137,20.647319999999997,16.83891,False,False,False,False
2908,Detroit,01/17/2025,15.8,Michigan,Eliza Howell-NR,15.8,15.67834,14.89624,12.148620000000001,False,False,False,False
2909,Detroit,01/18/2025,9.8,Michigan,Eliza Howell-NR,9.8,9.724540000000001,9.23944,7.535220000000001,False,False,False,True
2910,Detroit,01/19/2025,7.3,Michigan,Eliza Howell-NR,7.3,7.24379,6.88244,5.61297,True,True,True,True
2911,Detroit,01/20/2025,11.7,Michigan,Eliza Howell-NR,11.7,11.60991,11.030759999999999,8.996129999999999,False,False,False,True
2912,Detroit,01/21/2025,16.2,Michigan,Eliza Howell-NR,16.2,16.07526,15.273359999999998,12.45618,False,False,False,False
2913,Detroit,01/22/2025,15.7,Michigan,Eliza Howell-NR,15.7,15.579109999999998,14.80196,12.07173,False,False,False,False
2914,Detroit,01/23/2025,16.5,Michigan,Eliza Howell-NR,16.5,16.37295,15.556199999999999,12.68685,False,False,False,False
2915,Detroit,01/24/2025,19.9,Michigan,Eliza Howell-NR,19.9,19.746769999999998,18.761719999999997,15.30111,False,False,False,False
2916,Detroit,01/25/2025,19.2,Michigan,Eliza Howell-NR,19.2,19.052159999999997,18.10176,14.76288,False,False,False,False
2917,Detroit,01/26/2025,8.5,Michigan,Eliza Howell-NR,8.5,8.43455,8.0138,6.53565,True,True,True,True
2918,Detroit,01/27/2025,13.5,Michigan,Eliza Howell-NR,13.5,13.396049999999999,12.7278,10.38015,False,False,False,False
2919,Detroit,01/28/2025,9.5,Michigan,Eliza Howell-NR,9.5,9.42685,8.9566,7.30455,False,False,True,True
2920,Detroit,01/29/2025,7.0,Michigan,Eliza Howell-NR,7.0,6.9460999999999995,6.5996,5.3823,True,True,True,True
3643,Detroit,01/30/2025,10.7,Michigan,DP4th - Detroit Police 4th Precinct (near GHIB),10.7,10.617609999999999,10.087959999999999,8.22723,False,False,False,True
760,Detroit,01/31/2025,13.5,Michigan,Port Huron,13.5,13.396049999999999,12.7278,10.38015,False,False,False,False
2923,Detroit,02/01/2025,6.4,Michigan,Eliza Howell-NR,6.4,6.35072,6.03392,4.920960000000001,True,True,True,True
1966,Detroit,02/02/2025,11.1,Michigan,Detroit-Southwest,11.1,11.014529999999999,10.465079999999999,8.53479,False,False,False,True
398,Detroit,02/03/2025,22.0,Michigan,Oak Park,22.0,21.8306,20.7416,16.9158,False,False,False,False
2926,Detroit,02/04/2025,5.8,Michigan,Eliza Howell-NR,5.8,5.7553399999999995,5.46824,4.45962,True,True,True,True
3649,Detroit,02/05/2025,7.3,Michigan,DP4th - Detroit Police 4th Precinct (near GHIB),7.3,7.24379,6.88244,5.61297,True,True,True,True
2488,Detroit,02/06/2025,8.3,Michigan,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,8.3,8.23609,7.825240000000001,6.381870000000001,True,True,True,True
4014,Detroit,02/07/2025,10.2,Michigan,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),10.2,10.121459999999999,9.61656,7.842779999999999,False,False,False,True
3652,Detroit,02/08/2025,12.1,Michigan,DP4th - Detroit Police 4th Precinct (near GHIB),12.1,12.006829999999999,11.407879999999999,9.30369,False,False,False,False
3653,Detroit,02/09/2025,9.0,Michigan,DP4th - Detroit Police 4th Precinct (near GHIB),9.0,8.9307,8.485199999999999,6.920100000000001,True,True,True,True
2932,Detroit,02/10/2025,15.0,Michigan,Eliza Howell-NR,15.0,14.8845,14.142,11.5335,False,False,False,False
2933,Detroit,02/11/2025,18.2,Michigan,Eliza Howell-NR,18.2,18.059859999999997,17.15896,13.99398,False,False,False,False
3656,Detroit,02/12/2025,16.1,Michigan,DP4th - Detroit Police 4th Precinct (near GHIB),16.1,15.976030000000002,15.17908,12.379290000000001,False,False,False,False
2935,Detroit,02/13/2025,12.7,Michigan,Eliza Howell-NR,12.7,12.60221,11.973559999999999,9.76503,False,False,False,False
2936,Detroit,02/14/2025,26.5,Michigan,Eliza Howell-NR,26.5,26.295949999999998,24.984199999999998,20.37585,False,False,False,False
2937,Detroit,02/15/2025,22.3,Michigan,Eliza Howell-NR,22.3,22.12829,21.02444,17.14647,False,False,False,False
2938,Detroit,02/16/2025,11.7,Michigan,Eliza Howell-NR,11.7,11.60991,11.030759999999999,8.996129999999999,False,False,False,True
2939,Detroit,02/17/2025,10.7,Michigan,Eliza Howell-NR,10.7,10.617609999999999,10.087959999999999,8.22723,False,False,False,True
2940,Detroit,02/18/2025,14.0,Michigan,Eliza Howell-NR,14.0,13.892199999999999,13.1992,10.7646,False,False,False,False
2941,Detroit,02/19/2025,8.5,Michigan,Eliza Howell-NR,8.5,8.43455,8.0138,6.53565,True,True,True,True
2942,Detroit,02/20/2025,10.8,Michigan,Eliza Howell-NR,10.8,10.71684,10.18224,8.304120000000001,False,False,False,True
2943,Detroit,02/21/2025,9.8,Michigan,Eliza Howell-NR,9.8,9.724540000000001,9.23944,7.535220000000001,False,False,False,True
2944,Detroit,02/22/2025,22.9,Michigan,Eliza Howell-NR,22.9,22.72367,21.59012,17.60781,False,False,False,False
2945,Detroit,02/23/2025,22.7,Michigan,Eliza Howell-NR,22.7,22.525209999999998,21.40156,17.45403,False,False,False,False
2946,Detroit,02/24/2025,20.1,Michigan,Eliza Howell-NR,20.1,19.945230000000002,18.95028,15.454890000000002,False,False,False,False
2947,Detroit,02/25/2025,12.3,Michigan,Eliza Howell-NR,12.3,12.20529,11.596440000000001,9.45747,False,False,False,False
2948,Detroit,02/26/2025,16.3,Michigan,Eliza Howell-NR,16.3,16.17449,15.36764,12.53307,False,False,False,False
2949,Detroit,02/27/2025,15.7,Michigan,Eliza Howell-NR,15.7,15.579109999999998,14.80196,12.07173,False,False,False,False
2950,Detroit,02/28/2025,10.6,Michigan,Eliza Howell-NR,10.6,10.518379999999999,9.99368,8.15034,False,False,False,True
2951,Detroit,03/01/2025,6.5,Michigan,Eliza Howell-NR,6.5,6.449949999999999,6.1282,4.997850000000001,True,True,True,True
2952,Detroit,03/02/2025,9.0,Michigan,Eliza Howell-NR,9.0,8.9307,8.485199999999999,6.920100000000001,True,True,True,True
2953,Detroit,03/03/2025,17.3,Michigan,Eliza Howell-NR,17.3,17.16679,16.31044,13.30197,False,False,False,False
2954,Detroit,03/04/2025,16.3,Michigan,Eliza Howell-NR,16.3,16.17449,15.36764,12.53307,False,False,False,False
2955,Detroit,03/05/2025,10.0,Michigan,Eliza Howell-NR,10.0,9.923,9.427999999999999,7.689,False,False,False,True
