,City,Date,Daily Mean PM2.5 Concentration,State,Local Site Name,0 filters,10 filters,100 filters,1000 filters,Below threshold with 0 filters,Below threshold with 10 filters,Below threshold with 100 filters,Below threshold with 1000 filters
0,Fresno,01/01/2025,64.2,California,Fresno - Garland,64.2,63.70566,60.52776,49.36338000000001,False,False,False,False
1595,Fresno,01/02/2025,37.7,California,Fresno-Foundry,37.7,37.409710000000004,35.54356,28.987530000000003,False,False,False,False
1596,Fresno,01/03/2025,27.9,California,Fresno-Foundry,27.9,27.685169999999996,26.304119999999998,21.45231,False,False,False,False
71,Fresno,01/04/2025,12.5,California,Fresno - Garland,12.5,12.403749999999999,11.785,9.61125,False,False,False,False
1598,Fresno,01/05/2025,21.6,California,Fresno-Foundry,21.6,21.43368,20.36448,16.608240000000002,False,False,False,False
1599,Fresno,01/06/2025,23.0,California,Fresno-Foundry,23.0,22.8229,21.6844,17.6847,False,False,False,False
72,Fresno,01/07/2025,20.4,California,Fresno - Garland,20.4,20.242919999999998,19.23312,15.685559999999999,False,False,False,False
1601,Fresno,01/08/2025,30.7,California,Fresno-Foundry,30.7,30.46361,28.943959999999997,23.60523,False,False,False,False
1602,Fresno,01/09/2025,23.2,California,Fresno-Foundry,23.2,23.021359999999998,21.87296,17.83848,False,False,False,False
1603,Fresno,01/10/2025,26.6,California,Fresno-Foundry,26.6,26.39518,25.07848,20.452740000000002,False,False,False,False
1604,Fresno,01/11/2025,25.9,California,Fresno-Foundry,25.9,25.70057,24.418519999999997,19.91451,False,False,False,False
1605,Fresno,01/12/2025,30.2,California,Fresno-Foundry,30.2,29.96746,28.472559999999998,23.22078,False,False,False,False
1606,Fresno,01/13/2025,16.8,California,Fresno-Foundry,16.8,16.67064,15.83904,12.917520000000001,False,False,False,False
1607,Fresno,01/14/2025,24.2,California,Fresno-Foundry,24.2,24.013659999999998,22.815759999999997,18.60738,False,False,False,False
2328,Fresno,01/15/2025,25.6,California,Fresno-Pacific,25.6,25.40288,24.13568,19.683840000000004,False,False,False,False
1609,Fresno,01/16/2025,30.1,California,Fresno-Foundry,30.1,29.86823,28.37828,23.143890000000003,False,False,False,False
1610,Fresno,01/17/2025,25.5,California,Fresno-Foundry,25.5,25.303649999999998,24.0414,19.60695,False,False,False,False
2331,Fresno,01/18/2025,38.7,California,Fresno-Pacific,38.7,38.402010000000004,36.486360000000005,29.75643,False,False,False,False
76,Fresno,01/19/2025,36.5,California,Fresno - Garland,36.5,36.21895,34.4122,28.06485,False,False,False,False
2333,Fresno,01/20/2025,34.7,California,Fresno-Pacific,34.7,34.43281,32.715160000000004,26.680830000000004,False,False,False,False
2334,Fresno,01/21/2025,32.6,California,Fresno-Pacific,32.6,32.34898,30.73528,25.06614,False,False,False,False
2335,Fresno,01/22/2025,32.3,California,Fresno-Pacific,32.3,32.051289999999995,30.452439999999996,24.835469999999997,False,False,False,False
1616,Fresno,01/23/2025,35.8,California,Fresno-Foundry,35.8,35.524339999999995,33.75223999999999,27.526619999999998,False,False,False,False
1617,Fresno,01/24/2025,30.7,California,Fresno-Foundry,30.7,30.46361,28.943959999999997,23.60523,False,False,False,False
8,Fresno,01/25/2025,31.0,California,Fresno - Garland,31.0,30.7613,29.2268,23.835900000000002,False,False,False,False
1979,Fresno,01/26/2025,7.1,California,Clovis-Villa,7.1,7.045329999999999,6.693879999999999,5.4591899999999995,True,True,True,True
1620,Fresno,01/27/2025,12.2,California,Fresno-Foundry,12.2,12.10606,11.502159999999998,9.38058,False,False,False,False
1621,Fresno,01/28/2025,15.3,California,Fresno-Foundry,15.3,15.18219,14.42484,11.764170000000002,False,False,False,False
1622,Fresno,01/29/2025,17.3,California,Fresno-Foundry,17.3,17.16679,16.31044,13.30197,False,False,False,False
1623,Fresno,01/30/2025,30.7,California,Fresno-Foundry,30.7,30.46361,28.943959999999997,23.60523,False,False,False,False
1624,Fresno,01/31/2025,30.6,California,Fresno-Foundry,30.6,30.36438,28.84968,23.528340000000004,False,False,False,False
2345,Fresno,02/01/2025,26.0,California,Fresno-Pacific,26.0,25.799799999999998,24.5128,19.991400000000002,False,False,False,False
1626,Fresno,02/02/2025,13.6,California,Fresno-Foundry,13.6,13.49528,12.82208,10.45704,False,False,False,False
81,Fresno,02/03/2025,10.3,California,Fresno - Garland,10.3,10.220690000000001,9.710840000000001,7.919670000000001,False,False,False,True
1988,Fresno,02/04/2025,3.9,California,Clovis-Villa,3.9,3.86997,3.67692,2.99871,True,True,True,True
1989,Fresno,02/05/2025,5.1,California,Clovis-Villa,5.1,5.0607299999999995,4.80828,3.9213899999999997,True,True,True,True
2350,Fresno,02/06/2025,6.8,California,Fresno-Pacific,6.8,6.74764,6.41104,5.22852,True,True,True,True
1991,Fresno,02/07/2025,4.2,California,Clovis-Villa,4.2,4.16766,3.95976,3.2293800000000004,True,True,True,True
1992,Fresno,02/08/2025,8.0,California,Clovis-Villa,8.0,7.9384,7.5424,6.1512,True,True,True,True
228,Fresno,02/09/2025,10.0,California,Fresno - Garland,10.0,9.923,9.427999999999999,7.689,False,False,False,True
1994,Fresno,02/10/2025,10.5,California,Clovis-Villa,10.5,10.41915,9.8994,8.073450000000001,False,False,False,True
2355,Fresno,02/11/2025,8.6,California,Fresno-Pacific,8.6,8.53378,8.10808,6.61254,True,True,True,True
1996,Fresno,02/12/2025,7.5,California,Clovis-Villa,7.5,7.44225,7.071,5.76675,True,True,True,True
1997,Fresno,02/13/2025,4.7,California,Clovis-Villa,4.7,4.66381,4.43116,3.61383,True,True,True,True
1638,Fresno,02/14/2025,5.6,California,Fresno-Foundry,5.6,5.55688,5.27968,4.30584,True,True,True,True
2359,Fresno,02/15/2025,13.9,California,Fresno-Pacific,13.9,13.79297,13.10492,10.687710000000001,False,False,False,False
1640,Fresno,02/16/2025,14.3,California,Fresno-Foundry,14.3,14.18989,13.48204,10.995270000000001,False,False,False,False
2361,Fresno,02/17/2025,7.1,California,Fresno-Pacific,7.1,7.045329999999999,6.693879999999999,5.4591899999999995,True,True,True,True
1642,Fresno,02/18/2025,12.0,California,Fresno-Foundry,12.0,11.907599999999999,11.3136,9.2268,False,False,False,False
2363,Fresno,02/19/2025,13.3,California,Fresno-Pacific,13.3,13.19759,12.53924,10.226370000000001,False,False,False,False
2364,Fresno,02/20/2025,11.7,California,Fresno-Pacific,11.7,11.60991,11.030759999999999,8.996129999999999,False,False,False,True
