,City,Date,Daily Mean PM2.5 Concentration,State,Local Site Name,0 filters,10 filters,100 filters,1000 filters,Below threshold with 0 filters,Below threshold with 10 filters,Below threshold with 100 filters,Below threshold with 1000 filters
795,Visalia,01/01/2025,36.8,California,Visalia-W. Ashland Avenue,36.8,36.516639999999995,34.69504,28.29552,False,False,False,False
435,Visalia,01/02/2025,29.2,California,Visalia-W. Ashland Avenue,29.2,28.97516,27.52976,22.45188,False,False,False,False
436,Visalia,01/03/2025,19.8,California,Visalia-W. Ashland Avenue,19.8,19.64754,18.66744,15.22422,False,False,False,False
437,Visalia,01/04/2025,15.8,California,Visalia-W. Ashland Avenue,15.8,15.67834,14.89624,12.148620000000001,False,False,False,False
438,Visalia,01/05/2025,17.8,California,Visalia-W. Ashland Avenue,17.8,17.66294,16.78184,13.686420000000002,False,False,False,False
439,Visalia,01/06/2025,18.2,California,Visalia-W. Ashland Avenue,18.2,18.059859999999997,17.15896,13.99398,False,False,False,False
796,Visalia,01/07/2025,26.0,California,Visalia-W. Ashland Avenue,26.0,25.799799999999998,24.5128,19.991400000000002,False,False,False,False
441,Visalia,01/08/2025,24.5,California,Visalia-W. Ashland Avenue,24.5,24.311349999999997,23.098599999999998,18.83805,False,False,False,False
442,Visalia,01/09/2025,18.7,California,Visalia-W. Ashland Avenue,18.7,18.556009999999997,17.63036,14.37843,False,False,False,False
443,Visalia,01/10/2025,17.7,California,Visalia-W. Ashland Avenue,17.7,17.563709999999997,16.687559999999998,13.60953,False,False,False,False
444,Visalia,01/11/2025,23.7,California,Visalia-W. Ashland Avenue,23.7,23.517509999999998,22.344359999999998,18.22293,False,False,False,False
445,Visalia,01/12/2025,17.0,California,Visalia-W. Ashland Avenue,17.0,16.8691,16.0276,13.0713,False,False,False,False
797,Visalia,01/13/2025,14.2,California,Visalia-W. Ashland Avenue,14.2,14.090659999999998,13.387759999999998,10.918379999999999,False,False,False,False
447,Visalia,01/14/2025,16.0,California,Visalia-W. Ashland Avenue,16.0,15.8768,15.0848,12.3024,False,False,False,False
448,Visalia,01/15/2025,15.5,California,Visalia-W. Ashland Avenue,15.5,15.38065,14.6134,11.917950000000001,False,False,False,False
449,Visalia,01/16/2025,15.0,California,Visalia-W. Ashland Avenue,15.0,14.8845,14.142,11.5335,False,False,False,False
450,Visalia,01/17/2025,21.1,California,Visalia-W. Ashland Avenue,21.1,20.93753,19.89308,16.22379,False,False,False,False
451,Visalia,01/18/2025,33.8,California,Visalia-W. Ashland Avenue,33.8,33.539739999999995,31.866639999999997,25.98882,False,False,False,False
452,Visalia,01/19/2025,31.9,California,Visalia-W. Ashland Avenue,31.9,31.654369999999997,30.075319999999998,24.52791,False,False,False,False
453,Visalia,01/20/2025,32.4,California,Visalia-W. Ashland Avenue,32.4,32.15052,30.546719999999997,24.91236,False,False,False,False
454,Visalia,01/21/2025,26.4,California,Visalia-W. Ashland Avenue,26.4,26.19672,24.889919999999996,20.29896,False,False,False,False
455,Visalia,01/22/2025,27.2,California,Visalia-W. Ashland Avenue,27.2,26.99056,25.64416,20.91408,False,False,False,False
456,Visalia,01/23/2025,30.9,California,Visalia-W. Ashland Avenue,30.9,30.662069999999996,29.13252,23.75901,False,False,False,False
457,Visalia,01/24/2025,17.9,California,Visalia-W. Ashland Avenue,17.9,17.762169999999998,16.876119999999997,13.763309999999999,False,False,False,False
798,Visalia,01/25/2025,15.3,California,Visalia-W. Ashland Avenue,15.3,15.18219,14.42484,11.764170000000002,False,False,False,False
878,Visalia,01/26/2025,8.1,California,Porterville,8.1,8.03763,7.636679999999999,6.22809,True,True,True,True
460,Visalia,01/27/2025,9.8,California,Visalia-W. Ashland Avenue,9.8,9.724540000000001,9.23944,7.535220000000001,False,False,False,True
461,Visalia,01/28/2025,10.9,California,Visalia-W. Ashland Avenue,10.9,10.81607,10.27652,8.38101,False,False,False,True
462,Visalia,01/29/2025,13.1,California,Visalia-W. Ashland Avenue,13.1,12.99913,12.350679999999999,10.07259,False,False,False,False
463,Visalia,01/30/2025,22.4,California,Visalia-W. Ashland Avenue,22.4,22.22752,21.11872,17.22336,False,False,False,False
